state,state_abbr,year,season,scenario,scenario_label,summer_tas_c,summer_tas_c_2020,summer_tas_c_change_from_2020
Kentucky,KY,2021,JJA,ssp245,Medium emissions (SSP245),22.31790952952907,21.417976935462235,0.8999325940668369
Kentucky,KY,2022,JJA,ssp245,Medium emissions (SSP245),21.739538818678714,21.417976935462235,0.3215618832164759
Kentucky,KY,2023,JJA,ssp245,Medium emissions (SSP245),22.881876770143215,21.417976935462235,1.4638998346809833
Kentucky,KY,2024,JJA,ssp245,Medium emissions (SSP245),22.927366205993298,21.417976935462235,1.509389270531058
Kentucky,KY,2025,JJA,ssp245,Medium emissions (SSP245),24.09540027807623,21.417976935462235,2.6774233426139946
Kentucky,KY,2026,JJA,ssp245,Medium emissions (SSP245),22.949500056735463,21.417976935462235,1.531523121273227
Kentucky,KY,2027,JJA,ssp245,Medium emissions (SSP245),23.44390169626821,21.417976935462235,2.02592476080597
Kentucky,KY,2028,JJA,ssp245,Medium emissions (SSP245),23.406339949521428,21.417976935462235,1.9883630140591915
Kentucky,KY,2029,JJA,ssp245,Medium emissions (SSP245),23.524703298635618,21.417976935462235,2.106726363173383
Kentucky,KY,2030,JJA,ssp245,Medium emissions (SSP245),22.652569926924965,21.417976935462235,1.2345929914627263
Kentucky,KY,2031,JJA,ssp245,Medium emissions (SSP245),23.657136686722385,21.417976935462235,2.2391597512601544
Kentucky,KY,2032,JJA,ssp245,Medium emissions (SSP245),22.829131052168098,21.417976935462235,1.4111541167058663
Kentucky,KY,2033,JJA,ssp245,Medium emissions (SSP245),23.520216869497403,21.417976935462235,2.102239934035169
Kentucky,KY,2034,JJA,ssp245,Medium emissions (SSP245),23.56133498621103,21.417976935462235,2.1433580507487915
Kentucky,KY,2035,JJA,ssp245,Medium emissions (SSP245),22.575944422583667,21.417976935462235,1.1579674871214327
Kentucky,KY,2036,JJA,ssp245,Medium emissions (SSP245),24.722871726781957,21.417976935462235,3.3048947913197204
Kentucky,KY,2037,JJA,ssp245,Medium emissions (SSP245),24.10828345352489,21.417976935462235,2.690306518062657
Kentucky,KY,2038,JJA,ssp245,Medium emissions (SSP245),24.48444176050598,21.417976935462235,3.066464825043741
Kentucky,KY,2039,JJA,ssp245,Medium emissions (SSP245),23.708922749916432,21.417976935462235,2.290945814454195
Kentucky,KY,2040,JJA,ssp245,Medium emissions (SSP245),22.390212618661494,21.417976935462235,0.9722356831992609
Kentucky,KY,2041,JJA,ssp245,Medium emissions (SSP245),24.10358393276624,21.417976935462235,2.6856069973040086
Kentucky,KY,2042,JJA,ssp245,Medium emissions (SSP245),24.145249194642737,21.417976935462235,2.7272722591804994
Kentucky,KY,2043,JJA,ssp245,Medium emissions (SSP245),23.685724001332765,21.417976935462235,2.2677470658705317
Kentucky,KY,2044,JJA,ssp245,Medium emissions (SSP245),22.882263028972094,21.417976935462235,1.4642860935098598
Kentucky,KY,2045,JJA,ssp245,Medium emissions (SSP245),24.104549046862427,21.417976935462235,2.68657211140019
Kentucky,KY,2046,JJA,ssp245,Medium emissions (SSP245),23.127945477632093,21.417976935462235,1.7099685421698596
Kentucky,KY,2047,JJA,ssp245,Medium emissions (SSP245),22.882890967818255,21.417976935462235,1.464914032356012
Kentucky,KY,2048,JJA,ssp245,Medium emissions (SSP245),23.482332907796245,21.417976935462235,2.064355972334008
Kentucky,KY,2049,JJA,ssp245,Medium emissions (SSP245),23.946221273765488,21.417976935462235,2.5282443383032516
