state,state_abbr,year,scenario,scenario_label,tas_c,tas_2020_c,tas_change_from_2020_c,annual_max_tasmax_c,hot_days_30c,hot_days_30c_2020,hot_days_30c_change_from_2020,hot_days_35c,hot_days_35c_2020,hot_days_35c_change_from_2020
New Hampshire,NH,2065,ssp585,High emissions (SSP585),9.05449048277145,6.3337116113696315,2.720778871401819,31.06197886238373,4.329486968446989,0.8987293187363729,3.4307576497106167,0.0,0.0,0.0
New Hampshire,NH,2066,ssp585,High emissions (SSP585),8.78467705004626,6.3337116113696315,2.450965438676628,31.524211063103063,4.161656138679368,0.8987293187363729,3.262926819942996,0.0,0.0,0.0
New Hampshire,NH,2067,ssp585,High emissions (SSP585),9.4403053808055,6.3337116113696315,3.1065937694358676,36.55303532733917,23.620512747760863,0.8987293187363729,22.721783429024487,1.0755534365969799,0.0,1.0755534365969799
New Hampshire,NH,2068,ssp585,High emissions (SSP585),8.768731976666219,6.3337116113696315,2.4350203652965865,31.724776800026408,4.243735951296806,0.8987293187363729,3.345006632560433,0.0,0.0,0.0
New Hampshire,NH,2069,ssp585,High emissions (SSP585),8.701481346565844,6.3337116113696315,2.36776973519621,30.19878006487827,2.926716473004176,0.8987293187363729,2.0279871542678034,0.0,0.0,0.0
New Hampshire,NH,2070,ssp585,High emissions (SSP585),8.793649600805901,6.3337116113696315,2.4599379894362716,32.16663408884224,5.519715523280717,0.8987293187363729,4.620986204544344,0.0,0.0,0.0
New Jersey,NJ,2020,ssp126,Low emissions (SSP126),10.899594837647514,10.899594837647514,0.0,32.37294411537044,10.510619793053213,10.510619793053213,0.0,0.0,0.0,0.0
New Jersey,NJ,2021,ssp126,Low emissions (SSP126),11.520517641982964,10.899594837647514,0.6209228043354492,32.776479813303844,12.365546522824452,10.510619793053213,1.854926729771239,0.0,0.0,0.0
New Jersey,NJ,2022,ssp126,Low emissions (SSP126),11.05405197520334,10.899594837647514,0.15445713755582358,31.82632114944465,8.131218615848688,10.510619793053213,-2.3794011772045254,0.0,0.0,0.0
New Jersey,NJ,2023,ssp126,Low emissions (SSP126),11.382021997955103,10.899594837647514,0.48242716030759036,31.86683266227518,7.575812381821148,10.510619793053213,-2.934807411232065,0.0,0.0,0.0
New Jersey,NJ,2024,ssp126,Low emissions (SSP126),11.246617831501055,10.899594837647514,0.3470229938535409,31.92663200278278,7.509369635583986,10.510619793053213,-3.0012501574692267,0.0,0.0,0.0
New Jersey,NJ,2025,ssp126,Low emissions (SSP126),10.725260405470658,10.899594837647514,-0.17433443217685904,34.99617417964475,5.804909953570719,10.510619793053213,-4.705709839482495,0.6003651162513617,0.0,0.6003651162513617
New Jersey,NJ,2026,ssp126,Low emissions (SSP126),11.072137150916008,10.899594837647514,0.17254231326849376,32.10666491419776,6.286163396123932,10.510619793053213,-4.2244563969292805,0.0,0.0,0.0
New Jersey,NJ,2027,ssp126,Low emissions (SSP126),10.945461357533443,10.899594837647514,0.045866519885927576,30.987406136602452,2.6857982798725706,10.510619793053213,-7.824821513180642,0.0,0.0,0.0
New Jersey,NJ,2028,ssp126,Low emissions (SSP126),11.058667824553826,10.899594837647514,0.15907298690631197,31.677885633477487,5.53997927524405,10.510619793053213,-4.970640517809162,0.0,0.0,0.0
New Jersey,NJ,2029,ssp126,Low emissions (SSP126),11.42461158099975,10.899594837647514,0.525016743352236,32.67979844609076,8.76011664428723,10.510619793053213,-1.7505031487659828,0.0,0.0,0.0
New Jersey,NJ,2030,ssp126,Low emissions (SSP126),10.993332430106834,10.899594837647514,0.09373759245931741,31.32379972922592,5.355258293621559,10.510619793053213,-5.1553614994316534,0.0,0.0,0.0
New Jersey,NJ,2031,ssp126,Low emissions (SSP126),11.145575517125922,10.899594837647514,0.2459806794784073,31.210700915471882,6.691109450702662,10.510619793053213,-3.8195103423505508,0.0,0.0,0.0
New Jersey,NJ,2032,ssp126,Low emissions (SSP126),10.703996349104319,10.899594837647514,-0.19559848854319728,30.237783333322458,1.481253442553214,10.510619793053213,-9.029366350499998,0.0,0.0,0.0
New Jersey,NJ,2033,ssp126,Low emissions (SSP126),10.722394156504434,10.899594837647514,-0.17720068114307996,33.05002990619457,6.444177046816051,10.510619793053213,-4.066442746237161,0.0,0.0,0.0
New Jersey,NJ,2034,ssp126,Low emissions (SSP126),12.157714677392411,10.899594837647514,1.2581198397448967,31.29723899449919,4.6357815036720496,10.510619793053213,-5.874838289381163,0.0,0.0,0.0
New Jersey,NJ,2035,ssp126,Low emissions (SSP126),11.158749085417101,10.899594837647514,0.25915424776958756,30.724219308723715,2.4583607164394747,10.510619793053213,-8.052259076613739,0.0,0.0,0.0
New Jersey,NJ,2036,ssp126,Low emissions (SSP126),10.933558981826991,10.899594837647514,0.033964144179476886,29.467793688918437,0.36944196324498274,10.510619793053213,-10.14117782980823,0.0,0.0,0.0
New Jersey,NJ,2037,ssp126,Low emissions (SSP126),10.773288602377553,10.899594837647514,-0.12630623526995935,32.74447281398226,12.733826032513266,10.510619793053213,2.2232062394600534,0.0,0.0,0.0
New Jersey,NJ,2038,ssp126,Low emissions (SSP126),11.76629926114937,10.899594837647514,0.8667044235018556,32.42444620209907,6.266339540427067,10.510619793053213,-4.244280252626146,0.0,0.0,0.0
New Jersey,NJ,2039,ssp126,Low emissions (SSP126),10.773548133029577,10.899594837647514,-0.12604670461793768,32.96946699635078,11.086842025721609,10.510619793053213,0.5762222326683955,0.0,0.0,0.0
New Jersey,NJ,2040,ssp126,Low emissions (SSP126),11.41298695370435,10.899594837647514,0.5133921160568341,31.835448334811154,5.094142220111524,10.510619793053213,-5.416477572941688,0.0,0.0,0.0
New Jersey,NJ,2041,ssp126,Low emissions (SSP126),11.649369949135172,10.899594837647514,0.7497751114876584,33.07453236899602,10.492204799456747,10.510619793053213,-0.018414993596466058,0.0,0.0,0.0
New Jersey,NJ,2042,ssp126,Low emissions (SSP126),11.962103993595688,10.899594837647514,1.062509155948175,32.12164785848312,8.232661030350128,10.510619793053213,-2.277958762703084,0.0,0.0,0.0
New Jersey,NJ,2043,ssp126,Low emissions (SSP126),11.898551069147915,10.899594837647514,0.9989562315004006,33.42041838438716,18.05972484394399,10.510619793053213,7.549105050890775,0.0,0.0,0.0
New Jersey,NJ,2044,ssp126,Low emissions (SSP126),10.393662180989963,10.899594837647514,-0.5059326566575528,32.556585662918174,7.205953699419756,10.510619793053213,-3.304666093633457,0.0,0.0,0.0
New Jersey,NJ,2045,ssp126,Low emissions (SSP126),10.296207284618175,10.899594837647514,-0.6033875530293381,30.608793532155982,4.806318815671117,10.510619793053213,-5.704300977382095,0.0,0.0,0.0
New Jersey,NJ,2046,ssp126,Low emissions (SSP126),11.964852321359572,10.899594837647514,1.0652574837120607,31.72355154040136,6.101442414501441,10.510619793053213,-4.409177378551772,0.0,0.0,0.0
New Jersey,NJ,2047,ssp126,Low emissions (SSP126),11.137836943620997,10.899594837647514,0.23824210597347986,32.410176090493216,9.582279137898245,10.510619793053213,-0.9283406551549668,0.0,0.0,0.0
New Jersey,NJ,2048,ssp126,Low emissions (SSP126),11.097624758524095,10.899594837647514,0.19802992087657934,31.40126191819066,4.147644585885328,10.510619793053213,-6.362975207167884,0.0,0.0,0.0
New Jersey,NJ,2049,ssp126,Low emissions (SSP126),12.231535303870372,10.899594837647514,1.3319404662228582,33.13048169168174,12.865461367518362,10.510619793053213,2.35484157446515,0.0,0.0,0.0
New Jersey,NJ,2050,ssp126,Low emissions (SSP126),11.669605976979026,10.899594837647514,0.7700111393315122,32.260313902730964,9.264679532110593,10.510619793053213,-1.2459402609426204,0.0,0.0,0.0
New Jersey,NJ,2051,ssp126,Low emissions (SSP126),11.304160303277776,10.899594837647514,0.40456546563025975,32.163723966478976,11.38337448665233,10.510619793053213,0.8727546935991182,0.0,0.0,0.0
New Jersey,NJ,2052,ssp126,Low emissions (SSP126),11.540196058021582,10.899594837647514,0.6406012203740692,31.641663651184484,9.303998228260973,10.510619793053213,-1.2066215647922405,0.0,0.0,0.0
New Jersey,NJ,2053,ssp126,Low emissions (SSP126),11.731008981285871,10.899594837647514,0.8314141436383546,30.846892111156784,2.6659744241757055,10.510619793053213,-7.844645368877507,0.0,0.0,0.0
New Jersey,NJ,2054,ssp126,Low emissions (SSP126),11.61837574902075,10.899594837647514,0.7187809113732352,32.67018126589781,15.451226094989892,10.510619793053213,4.940606301936679,0.0,0.0,0.0
New Jersey,NJ,2055,ssp126,Low emissions (SSP126),12.04696605218982,10.899594837647514,1.147371214542306,32.79056532910363,7.451060522049558,10.510619793053213,-3.0595592710036543,0.0,0.0,0.0
New Jersey,NJ,2056,ssp126,Low emissions (SSP126),11.671131111542264,10.899594837647514,0.7715362738947492,31.921415728411166,6.063949299607869,10.510619793053213,-4.446670493445343,0.0,0.0,0.0
New Jersey,NJ,2057,ssp126,Low emissions (SSP126),11.959024751861916,10.899594837647514,1.0594299142143992,30.97623122895199,2.5239700243638183,10.510619793053213,-7.986649768689394,0.0,0.0,0.0
New Jersey,NJ,2058,ssp126,Low emissions (SSP126),11.392762532297166,10.899594837647514,0.49316769464965116,33.32551515958635,10.037658687833906,10.510619793053213,-0.47296110521930745,0.0,0.0,0.0
New Jersey,NJ,2059,ssp126,Low emissions (SSP126),12.295110531420242,10.899594837647514,1.3955156937727273,31.304000124053907,6.606005302324803,10.510619793053213,-3.9046144907284095,0.0,0.0,0.0
New Jersey,NJ,2060,ssp126,Low emissions (SSP126),10.622610837902426,10.899594837647514,-0.27698399974509125,30.628383970438676,4.697992925936169,10.510619793053213,-5.812626867117044,0.0,0.0,0.0
New Jersey,NJ,2061,ssp126,Low emissions (SSP126),11.42405822942056,10.899594837647514,0.5244633917730445,32.16920517067126,10.021232717797265,10.510619793053213,-0.4893870752559483,0.0,0.0,0.0
New Jersey,NJ,2062,ssp126,Low emissions (SSP126),11.989542761003241,10.899594837647514,1.0899479233557265,30.93069346197068,2.266339540427067,10.510619793053213,-8.244280252626146,0.0,0.0,0.0
New Jersey,NJ,2063,ssp126,Low emissions (SSP126),12.578345640170028,10.899594837647514,1.678750802522517,34.652250321348184,16.98498976037292,10.510619793053213,6.474369967319706,0.6003651162513617,0.0,0.6003651162513617
New Jersey,NJ,2064,ssp126,Low emissions (SSP126),11.309974187085855,10.899594837647514,0.41037934943834137,31.38810110136871,6.791143003103704,10.510619793053213,-3.719476789949509,0.0,0.0,0.0
New Jersey,NJ,2065,ssp126,Low emissions (SSP126),11.367270269864578,10.899594837647514,0.46767543221706265,30.41278690384433,2.3090561222376715,10.510619793053213,-8.201563670815542,0.0,0.0,0.0
New Jersey,NJ,2066,ssp126,Low emissions (SSP126),12.070376887605692,10.899594837647514,1.170782049958176,30.92680808237328,4.651790754552282,10.510619793053213,-5.858829038500931,0.0,0.0,0.0
New Jersey,NJ,2067,ssp126,Low emissions (SSP126),11.099494339863336,10.899594837647514,0.19989950221582056,32.970812754905275,18.509786354740395,10.510619793053213,7.999166561687182,0.0,0.0,0.0
New Jersey,NJ,2068,ssp126,Low emissions (SSP126),11.624835341183875,10.899594837647514,0.7252405035363614,30.099983338644126,2.493777103860163,10.510619793053213,-8.01684268919305,0.0,0.0,0.0
New Jersey,NJ,2069,ssp126,Low emissions (SSP126),12.242357823363049,10.899594837647514,1.3427629857155337,31.333893046441148,7.090327615294891,10.510619793053213,-3.4202921777583217,0.0,0.0,0.0
New Jersey,NJ,2070,ssp126,Low emissions (SSP126),12.667654702256288,10.899594837647514,1.76805986460877,32.012029798345175,10.753233169053722,10.510619793053213,0.24261337600050986,0.0,0.0,0.0
New Jersey,NJ,2020,ssp245,Medium emissions (SSP245),10.508633023199039,10.508633023199039,0.0,31.408953447768308,4.794211873520577,4.794211873520577,0.0,0.0,0.0,0.0
New Jersey,NJ,2021,ssp245,Medium emissions (SSP245),10.728149353219766,10.508633023199039,0.21951633002072915,34.223307000346345,9.021649436953673,4.794211873520577,4.227437563433096,0.18472098162249137,0.0,0.18472098162249137
New Jersey,NJ,2022,ssp245,Medium emissions (SSP245),12.000182079591399,10.508633023199039,1.491549056392359,31.58239938448638,3.170537311999068,4.794211873520577,-1.6236745615215098,0.0,0.0,0.0
New Jersey,NJ,2023,ssp245,Medium emissions (SSP245),10.973272966968725,10.508633023199039,0.4646399437696846,30.11250310075342,0.9698070794963444,4.794211873520577,-3.824404794024233,0.0,0.0,0.0
New Jersey,NJ,2024,ssp245,Medium emissions (SSP245),11.49850304252583,10.508633023199039,0.989870019326792,32.820843820424415,6.404858350665671,4.794211873520577,1.6106464771450935,0.0,0.0,0.0
New Jersey,NJ,2025,ssp245,Medium emissions (SSP245),11.678533223113053,10.508633023199039,1.1699001999140128,31.261514792898193,4.935711850262997,4.794211873520577,0.14149997674241935,0.0,0.0,0.0
New Jersey,NJ,2026,ssp245,Medium emissions (SSP245),11.516101936093628,10.508633023199039,1.0074689128945893,30.60711209094961,4.236146619923411,4.794211873520577,-0.5580652535971661,0.0,0.0,0.0
New Jersey,NJ,2027,ssp245,Medium emissions (SSP245),11.115272680917188,10.508633023199039,0.6066396577181492,32.152619991518804,7.147644585885328,4.794211873520577,2.353432712364751,0.0,0.0,0.0
New Jersey,NJ,2028,ssp245,Medium emissions (SSP245),10.690315843402718,10.508633023199039,0.18168282020367862,33.444314901201196,9.50638846908017,4.794211873520577,4.712176595559593,0.0,0.0,0.0
New Jersey,NJ,2029,ssp245,Medium emissions (SSP245),10.90023749733842,10.508633023199039,0.39160447413938093,32.09721922939166,9.09116105360771,4.794211873520577,4.296949180087132,0.0,0.0,0.0
New Jersey,NJ,2030,ssp245,Medium emissions (SSP245),10.794436599988112,10.508633023199039,0.28580357678907214,32.340077015074876,7.7376406373299,4.794211873520577,2.9434287638093224,0.0,0.0,0.0
New Jersey,NJ,2031,ssp245,Medium emissions (SSP245),11.351172933045708,10.508633023199039,0.8425399098466692,32.59853118988291,10.021649436953673,4.794211873520577,5.227437563433096,0.0,0.0,0.0
New Jersey,NJ,2032,ssp245,Medium emissions (SSP245),11.576022290057905,10.508633023199039,1.0673892668588656,31.878390889968998,5.84381193056469,4.794211873520577,1.049600057044112,0.0,0.0,0.0
New Jersey,NJ,2033,ssp245,Medium emissions (SSP245),11.3522737959407,10.508633023199039,0.8436407727416617,31.671542641054305,3.9163047137225404,4.794211873520577,-0.8779071597980369,0.0,0.0,0.0
New Jersey,NJ,2034,ssp245,Medium emissions (SSP245),10.907440465227463,10.508633023199039,0.39880744202842505,31.478174595490536,5.652207473708691,4.794211873520577,0.8579956001881132,0.0,0.0,0.0
New Jersey,NJ,2035,ssp245,Medium emissions (SSP245),10.748601247160355,10.508633023199039,0.2399682239613141,31.260524881957796,7.295289171770657,4.794211873520577,2.5010772982500793,0.0,0.0,0.0
New Jersey,NJ,2036,ssp245,Medium emissions (SSP245),10.835622689843056,10.508633023199039,0.32698966664401746,31.588692777464296,11.801677640850826,4.794211873520577,7.00746576733025,0.0,0.0,0.0
